start_year,state,site,summary,event_quote,lat,lon
1528,Mï¿½xico,unspecified site,Granizada,"Se muestra una nube de lluvia con gotas de agua que, como en el Códice Telleriano Remensis, podría representar una granizada. Códice Vaticano A, 1964-1967, f. 89v",19.49828005,-99.04413125
1529,Chiapas,Chiapa,Epidemia de tabardillo,"El “tabardill.” cobra muchas víctimas en Chiapas y otros pueblos de la Audiencia de Guatemala. Mac Leod, 1980:86",16.70774390,-93.01406534
1529,Distrito Federal,Mexico,Inundación,"En el tianguis de San Juan “algunos mercachifles que había que no se vendía en dicho tianguis desde el año 29, que fue el de la inundación genera.” Guijo, 1986, II:114",19.43264649,-99.13325795
1530,Chiapas,Chiapa,Epidemia de tabardillo,"El “tabardill.” cobra muchas víctimas en Chiapas y otros pueblos de la Audiencia de Guatemala. Mac Leod, 1980:86",16.70774390,-93.01406534
1530,Jalisco,Cocula (San Miguel),Epidemia,"“Se presentó una peste muy grande por lo que se morían muchos indios, por lo que se hizo una misa cantada y desde ese día cesó la peste.” Tello, 1945, IV:104",20.36585387,-103.82266049
1530,Sinaloa,Chiametla,Inundación,"“Nuño de Guzmán entró en Sinaloa y fundó la villa de Chiametla en 1530, allí estuvo a punto de perecer por una inundación.” Orozco y Berra, 1881:126",22.87797255,-105.95823851
1531,Chiapas,Chiapa,Epidemia de tabardillo,"El “tabardill.” cobra muchas víctimas en Chiapas y otros pueblos de la Audiencia de Guatemala. Mac Leod, 1980:86",16.70774390,-93.01406534
1531,Distrito Federal,Mexico,Epidemia,"“Epidemia de lepra pequeña o tepitonzahuatl (varicela), de zahuatl (sarampión), de zahuatl tepiton.” Espinosa et al., 1987:76",19.43264649,-99.13325795
1531,Mï¿½xico,Toluca (San Josï¿½),Epidemia,"“Epidemias en el valle de Toluca y México […] multitud de chiquitines murieron de ampollas y llagas.” Rosenzweig et al., 1987:282",19.29284944,-99.65422246
1531,Mï¿½xico,unspecified site,Otros fenómenos naturales,"“También entonces hubo peste de ampollas y llagas transparentes, de la cual murieron cantidad de infantes. También entonces fue cuando apareció un cometa, el cual pudo ser visto perfectamente durante dos años, al cabo de los cuales comenzó a borrársele el humo […] Y también cuando agarraron a los ayotzincas y a los tenancas.” Chimalpahin, 1965:158, 252",19.49828005,-99.04413125
1531,Mï¿½xico,unspecified site,Epidemia,"“Epidemias en el valle de Toluca y México […] multitud de chiquitines murieron de ampollas y llagas.” Rosenzweig et al., 1987:282",19.49828005,-99.04413125
1531,Michoacï¿½n de Ocampo,unspecified site,Epidemia de sarampión,"“Once años después [1531] dice Motolinia vino un español herido de sarampión, y de él se saltó a los indios. Estos llamaron al sarampión tepitontzahuatl (pequeña lepra).” Bravo, 1995:265",19.20658922,-101.88139380
1531,Nayarit,Aztatlï¿½n (Nueva Galicia),Creciente de rí­o,"“Estando el campo de Nuño de Guzmán alojado y tendido por las orillas del río de Aztatlán, en sus tiendas y alojamientos, llovió tanto que salieron, no sólo aquel río sino todos de madre de tal manera que parecía un diluvio, y se llevó todo el campo y ejército, y el gobernador se escapó y alguna gente con él, en algunos altocanos pequeños y en árboles, y fue tanta el agua que anegó aquellos campos, que en más de dos leguas a la redonda no se veía tierra, sino un mar que se incorporaba con el mar salado, ni se veían sino árboles y encima de ellos encaramados indios amigos y enemigos, sin que tuviesen cosa que comer ni vestir, si no era algún maíz que llevaba al agua, y eso lo cogían con mantillas y redes.” Tello, 1968:165",22.38271941,-105.41739236
1531,Nayarit,Aztatlï¿½n (Nueva Galicia),Calores excesivos,"“Ahogóse más de la tercia parte de los indios amigos, sin indias ni chusma; duró seis días y fue tanta la hambre que hubo, porque no hallaban qué comer, que morían muchos, y Guzmán estaba muy afligido, considerando la mala orden que había traído y lo mal que habían de sustentar y librar de cualquier trabajo. Reparaba en que Centicpac estaba destruido y acabado. No sólo por los enemigos de la sierra, sino de sus mismos soldados, y con esta pena y aflicción, con mucho trabajo para no perecer del todo, se salieron del diluvio aunque no de la hambre, que fue grande, porque de la sierra no tenían remedio, porque estaba remota y de guerra y el tiempo hacía tal de aguas, y mucho calor y la tierra muy cenagosa.” Tello, 1968:165",22.38271941,-105.41739236
1531,Nayarit,Aztatlï¿½n (Nueva Galicia),Epidemia,"“Después de estos trabajos, le vino otro para acabar con todo, y fue que así que pasó el diluvio, parecieron tanta cantidad de sapos y sabandijas que fueron, porque con el hambre que tenían, dieron en comer de ellas, y les sobrevino una gran pestilencia de cámaras de sangre, que casi murieron todos los indios amigos del campo, porque de 20 000 que eran no quedaron sino muy pocos, y aquí murió el capitán principal de los mexicanos amigos [que] Nuño de Guzmán llevaba consigo.” Tello, 1968:165",22.38271941,-105.41739236
1531,Nayarit,Centicpac (alias Sentispac),Calores excesivos,"“Ahogóse más de la tercia parte de los indios amigos, sin indias ni chusma; duró seis días y fue tanta la hambre que hubo, porque no hallaban qué comer, que morían muchos, y Guzmán estaba muy afligido, considerando la mala orden que había traído y lo mal que habían de sustentar y librar de cualquier trabajo. Reparaba en que Centicpac estaba destruido y acabado. No sólo por los enemigos de la sierra, sino de sus mismos soldados, y con esta pena y aflicción, con mucho trabajo para no perecer del todo, se salieron del diluvio aunque no de la hambre, que fue grande, porque de la sierra no tenían remedio, porque estaba remota y de guerra y el tiempo hacía tal de aguas, y mucho calor y la tierra muy cenagosa.” Tello, 1968:165",21.80432106,-105.34584426
1531,Puebla,Cholula,Epidemic,SARAMPION,19.06203262,-98.30640045
1531,Puebla,Puebla de los ï¿½ngeles,Helada,"“Se describe el lugar que se había elegido para la fundación de la ciudad y dice que llovió tanto que todo el pueblo se convirtió en un pantano. Después se helaron las siembras de trigo. Por eso muchos abandonaron la empresa.” Leicht, 1980:319",19.04397292,-98.19751139
1531,Puebla,Puebla de los ï¿½ngeles,Inundación,"La época de lluvias el año de 1531 fue pródiga para Puebla; tan frecuentes y abundantes fueron los aguaceros que inundaron varios sitios haciendo intransitables las calles que se convertían en verdaderas lagunas. Cordero y Torres, 1966, I:256",19.04397292,-98.19751139
1532,Chiapas,unspecified site,Epidemia de sarampión,"En toda la Audiencia de Guatemala padecieron el sarampión. Mortalidad alta; posiblemente se originó en el centro de México. Mac Leod, 1980:86",16.48460858,-92.47022531
1532,Distrito Federal,Mexico,Epidemia,"Hubo otra vez peste de ampollas y vejigas de lo cual murieron aun personas de edad en Tlalmanalco y de todas partes de México. Chimalpahin, 1965:253",19.43264649,-99.13325795
1532,Distrito Federal,Mexico,Epidemia de sarampión,"En toda la Audiencia de Guatemala padecieron el sarampión. Mortalidad alta; posiblemente se originó en el centro de México. Mac Leod, 1980:86",19.43264649,-99.13325795
1532,Distrito Federal,Mexico,Epidemia de acazahuatl,"“En el año 1 tecpatl se extendió la epidemia [acazahuatl] por la cual hubo destrucción y la gente murió en todas partes del mundo. - Yn ipan ze tecpatl xiuitl momanaco acazauatl uel ic tlaixpoliuh c micoac in novian cemanauac.” Libro de los guardianes, 1995:40-41",19.43264649,-99.13325795
1532,Mï¿½xico,Chalco,Epidemia,"Epidemia de viruela y zahuatl en todo México; así como temblores y cometas entre 1532 y 1534. Espinosa et al., 1987:77",19.26535425,-98.89781000
1532,Mï¿½xico,Tlalmanalco,Epidemia,"Hubo otra vez peste de ampollas y vejigas de lo cual murieron aun personas de edad en Tlalmanalco y de todas partes de México. Chimalpahin, 1965:253",19.20507593,-98.80280595
1532,Mï¿½xico,unspecified site,Enfermedad,"“La segunda pestilencia les vino también de nuevo por parte de los españoles 11 años después de las viruelas y esto fue de sarampión que trajo un español, y del salto en los indios de que murieron muchos aunque no tantos como de las viruelas, porque escarmentados del tiempo que las hubo se puso mucha diligencia y se tuvo aviso de que no entrasen en los baños, y se dieron otros remedios que les fueron de provecho. A este sarampión llamaron ellos tepiton zahuatl, que quiere decir pequeña lepra, por ser más menuda. Pagóse en esto (si se puede decir paga) nuestra Europa de este nuevo mundo, que de acá le llevaron las bubas (enfermedad natural de los indios y allá nunca antes conocida), y en pago de ella envió acá la Europa su sarampión y viruelas, allá muy usadas y acá de los indios nunca antes sabidas.” Assadourian y Martínez, 1991a, v. VI:240",19.49828005,-99.04413125
1532,Puebla,Puebla de los ï¿½ngeles,Inundación,"En el año de 1532 las lluvias fueron muy abundantes y un aguacero torrencial inundó varios sitios y calles atravesadas formando grandes charcos. Carrión, 1970, I:48",19.04397292,-98.19751139
1532,Puebla,unspecified site,Epidemia de viruela,"Hubo peste de viruelas. Anales de Puebla y Tlaxcala, núm. 1:346",18.54794342,-97.89651992
1532,Tlaxcala,Tlaxcala,Epidemic, 1532 tecpa xihuitl icuac zahuatepitzin oquizaco mochi tlaca omozahuahui,19.31730126,-98.23890287
1532,Tlaxcala,Tlaxcala,Epidemic,1532 ocatca zahuatzintli,19.31730126,-98.23890287
1532,Tlaxcala,Tlaxcala,Epidemic,1532 tecpaxihuitl icuacçahuatepitzin mochi tlacatlçahuatic,19.31730126,-98.23890287
1532,Tlaxcala,Tlaxcala,Epidemic,iquac oquiçacoçahuatepitzin,19.31730126,-98.23890287
1532,Tlaxcala,Tlaxcala,Epidemic,SAHUATEPITZIN QUISACO MOCHI TLACATL SAHUATIC,19.31730126,-98.23890287
1532,Tlaxcala,unspecified site,Epidemia de viruela,"Llegó la pequeña viruela de la que enfermó toda la gente. Anales de Tlaxcala, núm. 2: 339",19.42860564,-98.16841472
1532,Tlaxcala,unspecified site,Muertes,"“Entonces se presentó la viruela pequeña [zahuatepitzin]. Y entonces murió Atlacatzin Tlacochcalcateuhctli, hijo de Tlamaceuhcatzin. - Yn iquac quizaco zahuatepitzin yhuan yquac miqui Atlacatzin Tlacochcalcatl, tecuitl y piltzin Tlamaceuhcatzin.” Zapata y Mendoza, 1995:140-141",19.42860564,-98.16841472
1533,Puebla,Puebla de los ï¿½ngeles,Escasez de maíz,"El mayordomo de la ciudad traía 2 000 fanegas de maíz para repartirlas a los pobres y monasterios de la ciudad por la necesidad que había. Tres de febrero. AAP, Índice de extractos, L. 1, f. 93",19.04397292,-98.19751139
1535,Yucatï¿½n,unspecified site,Traslado de población,"“Plaga de langosta, sequías, pérdida de cosechas de cereales. Hambre generalizada en todo el territorio de Yucatán que provocó migraciones. Mayo-junio.” Florescano, 1980:81; Espinosa et al., 1987:77",20.74805532,-88.91936547
1535,Yucatï¿½n,unspecified site,Hambruna,"“Hambruna severa (sequía, langosta).” Farriss, 1992:108",20.74805532,-88.91936547
1535,Yucatï¿½n,unspecified site,Escasez de maíz,"“Faltó el agua en la tierra […] Por haber gastado sin orden su maíz en las guerras de los españoles, les sobrevino gran hambre […] Se les recreció la langosta por espacio de cinco años […] Vinieron a comer cortezas de árboles, en especial uno que llaman cumché, que es fofo y blando por dentro. Que por esta hambre, los Xiues, que son los señores de Maní, acordaron hacer un sacrificio solemne a los ídolos llevando ciertos esclavos y esclavas a echar en el pozo de Chicenizá.” Landa, 1982:25",20.74805532,-88.91936547
1535,Yucatï¿½n,unspecified site,Escasez de semillas,"“Fue en 1535, hace precisamente cuatro siglos, tras empeñosa y estéril campaña las huestes del adelantado Montejo se habían retirado de la tierra de los mayas dejando en éstos la esperanza de haberse librado en definitiva de la presencia de los hombres blancos barbados venidos del mar, por el oriente. No obstante, el regocijo fue de poca duración, porque las lluvias faltaron por completo, o fueron excesivamente escasas, y de aquí dimanó una gran sequía que hizo perder las cosechas de cereales. Desde que pasaron los meses de mayo y junio, hubo extremada consternación en todo el país. Conforme iba adelantando el año, iba creciendo el terror de los mayas que veían continuar la sequía y venir tras ella los horrores del hambre. En colmo de su tribulación, apareció por distintos lugares la espantosa plaga de langostas, la cual en pocos días se diseminó por los ámbitos del territorio y acabó instantáneamente con las pocas sementeras formadas en los lugares que no estuvieron completamente privados de lluvia. Se consumieron los depósitos de cereales que aún se conservaban y se declaró, en consecuencia, por todo el país, una hambre general que causó extraordinaria asolación. La gente, hambrienta y desesperada, salía a los campos en busca de raíces y cortezas de árboles con qué saciar su hambre: principalmente servía de grande auxilio, en tan horrible necesidad, un árbol llamado Kumché, cuyo centro blando y cocido era comido a guisa de pan. Ni las raíces, ni las cortezas, ni los frutos silvestres remediaban la miseria y falta de todo alimento sustancioso que afligía a la población. Los hombres caían muertos de necesidad en las plazas, calles y caminos; un gran número salía a los bosques buscando qué comer, y de allí no volvían porque caían extenuados en el campo y entregaban la vida de pura extenuación.” Molina, 1941:11-13",20.74805532,-88.91936547
1536,Yucatï¿½n,unspecified site,Escasez de maíz,"“Faltó el agua en la tierra […] Por haber gastado sin orden su maíz en las guerras de los españoles, les sobrevino gran hambre […] Se les recreció la langosta por espacio de cinco años […] Vinieron a comer cortezas de árboles, en especial uno que llaman cumché, que es fofo y blando por dentro. Que por esta hambre, los Xiues, que son los señores de Maní, acordaron hacer un sacrificio solemne a los ídolos llevando ciertos esclavos y esclavas a echar en el pozo de Chicenizá.” Landa, 1982:25",20.74805532,-88.91936547
1536,Yucatï¿½n,unspecified site,Hambruna,"“Hambruna severa (sequía, langosta).” Farriss, 1992:108",20.74805532,-88.91936547
1537,Distrito Federal,Mexico,Epidemia de matlazahuatl,"“Matlazahuatl (tifo).” Espinosa et al., 1987:77",19.43264649,-99.13325795
1537,Guerrero,Tlapa,Granizada,"Siendo misionero en Tlapa y Chilapa (“Tierra calient.” ), fray Juan Bautista Moya fue protagonista de una tormenta prodigiosa: “Quiso el Señor confirmar la predicación de su misionero con hechos prodigiosos, a fin de que hiciese mayor fruto entre aquellos indígenas algo refractarios a la nueva religión. Fue el primero un milagro en que mostró su dominio sobre la naturaleza. Una tempestad aterradora se desató sobre el poblado de Tlapa. El huracán azotaba los campos y las cabañas como un látigo gigantesco; los árboles caían arrancados de cuajo y arrastrados por la furia del vendaval; el granizo destrozaba sin piedad los sembrados de maíz […] los cielos —dice hiperbólicamente un cronista— llovían rayos por gotas de agua; para mayor espanto, los terremotos se sucedían con breves intervalo.” Navarrete, 1938:48",17.54682214,-98.57669197
1537,Yucatï¿½n,unspecified site,Hambruna,"“Hambruna severa (sequía, langosta).” Farriss, 1992:108",20.74805532,-88.91936547
1537,Yucatï¿½n,unspecified site,Escasez de maíz,"“Faltó el agua en la tierra […] Por haber gastado sin orden su maíz en las guerras de los españoles, les sobrevino gran hambre […] Se les recreció la langosta por espacio de cinco años […] Vinieron a comer cortezas de árboles, en especial uno que llaman cumché, que es fofo y blando por dentro. Que por esta hambre, los Xiues, que son los señores de Maní, acordaron hacer un sacrificio solemne a los ídolos llevando ciertos esclavos y esclavas a echar en el pozo de Chicenizá.” Landa, 1982:25",20.74805532,-88.91936547
1538,Distrito Federal,Mexico,Epidemia de viruela,"“Epidemia de viruela, hambre.” Espinosa et al., 1987:78",19.43264649,-99.13325795
1538,Distrito Federal,Mexico,Epidemia de matlazahuatl,"“Matlazahuatl (tifo).” Espinosa et al., 1987:77",19.43264649,-99.13325795
1538,Yucatï¿½n,unspecified site,Escasez de maíz,"“Faltó el agua en la tierra […] Por haber gastado sin orden su maíz en las guerras de los españoles, les sobrevino gran hambre […] Se les recreció la langosta por espacio de cinco años […] Vinieron a comer cortezas de árboles, en especial uno que llaman cumché, que es fofo y blando por dentro. Que por esta hambre, los Xiues, que son los señores de Maní, acordaron hacer un sacrificio solemne a los ídolos llevando ciertos esclavos y esclavas a echar en el pozo de Chicenizá.” Landa, 1982:25",20.74805532,-88.91936547
1538,Yucatï¿½n,unspecified site,Hambruna,"“Hambruna severa (sequía, langosta).” Farriss, 1992:108",20.74805532,-88.91936547
1539,Distrito Federal,Mexico,Epidemia de sarampión,"“Hambre, peste (cocoliztli), sarampión.” Espinosa et al., 1987:78",19.43264649,-99.13325795
1539,Distrito Federal,Mexico,Epidemia de matlazahuatl,"“Matlazahuatl (tifo).” Espinosa et al., 1987:77",19.43264649,-99.13325795
1539,Yucatï¿½n,unspecified site,Hambruna,"“Hambruna severa (sequía, langosta).” Farriss, 1992:108",20.74805532,-88.91936547
1539,Yucatï¿½n,unspecified site,Escasez de maíz,"“Faltó el agua en la tierra […] Por haber gastado sin orden su maíz en las guerras de los españoles, les sobrevino gran hambre […] Se les recreció la langosta por espacio de cinco años […] Vinieron a comer cortezas de árboles, en especial uno que llaman cumché, que es fofo y blando por dentro. Que por esta hambre, los Xiues, que son los señores de Maní, acordaron hacer un sacrificio solemne a los ídolos llevando ciertos esclavos y esclavas a echar en el pozo de Chicenizá.” Landa, 1982:25",20.74805532,-88.91936547
1540,Puebla,Cholula,Epidemic,"peste en cholula, fuerte mortandad",19.06203262,-98.30640045
1540,Puebla,Cholula,Epidemia,"“En Cholula, peste con fuerte mortandad.” Espinosa et al., 1987:78",19.06203262,-98.30640045
1540,Yucatï¿½n,unspecified site,Hambruna,"“Hambruna severa (sequía, langosta).” Farriss, 1992:108",20.74805532,-88.91936547
1540,Yucatï¿½n,unspecified site,Escasez de maíz,"“Faltó el agua en la tierra […] Por haber gastado sin orden su maíz en las guerras de los españoles, les sobrevino gran hambre […] Se les recreció la langosta por espacio de cinco años […] Vinieron a comer cortezas de árboles, en especial uno que llaman cumché, que es fofo y blando por dentro. Que por esta hambre, los Xiues, que son los señores de Maní, acordaron hacer un sacrificio solemne a los ídolos llevando ciertos esclavos y esclavas a echar en el pozo de Chicenizá.” Landa, 1982:25",20.74805532,-88.91936547
1541,Campeche,Campeche,Plaga de langosta,"“Haber sobrevenido recién conquistada la tierra tan gran multitud de langosta, que cubría la luz del sol [y] recién poblada la villa de Campeche, vino gran multitud de langosta.” López, 1957:218, 221",19.84283699,-90.53176090
1541,Distrito Federal,Mexico,Epidemia,"“En Nueva España hambre, peste y heladas que arruinaron el maíz y el trigo.” Gibson, 1991:464; Espinosa et al., 1987:78; Malvido, 1973:96",19.43264649,-99.13325795
1541,Michoacï¿½n de Ocampo,unspecified site,Escasez de alimentos,"“Si saben que si en dicha provincia de Michoacán el año siguiente de 1542 y el de 1543, hubo falta de mantenimientos, sería y fue porque el día de san Francisco del año de 1541 y de 1542, se helaron los maizales de dicha provincia.” 4 de octubre. Hanke, 1976, I:80-81",19.20658922,-101.88139380
1541,Puebla,Cholula,Early Frost,heladas tempranas arruinaron maiz y trigo,19.06203262,-98.30640045
1541,Yucatï¿½n,Mï¿½rida,Plaga de langosta,"“Haber sobrevenido recién conquistada la tierra tan gran multitud de langosta, que cubría la luz del sol [y] recién poblada la villa de Campeche, vino gran multitud de langosta.” López, 1957:218, 221",20.96571702,-89.62324008
1541,Yucatï¿½n,unspecified site,Hambruna,"“Hambruna severa (sequía, langosta).” Farriss, 1992:108",20.74805532,-88.91936547
1541,Yucatï¿½n,unspecified site,Escasez de maíz,"“Faltó el agua en la tierra […] Por haber gastado sin orden su maíz en las guerras de los españoles, les sobrevino gran hambre […] Se les recreció la langosta por espacio de cinco años […] Vinieron a comer cortezas de árboles, en especial uno que llaman cumché, que es fofo y blando por dentro. Que por esta hambre, los Xiues, que son los señores de Maní, acordaron hacer un sacrificio solemne a los ídolos llevando ciertos esclavos y esclavas a echar en el pozo de Chicenizá.” Landa, 1982:25",20.74805532,-88.91936547
1542,Campeche,Campeche,Plaga de langosta,"“Haber sobrevenido recién conquistada la tierra tan gran multitud de langosta, que cubría la luz del sol [y] recién poblada la villa de Campeche, vino gran multitud de langosta.” López, 1957:218, 221",19.84283699,-90.53176090
1542,Chiapas,unspecified site,Epidemia de viruela,"La viruela afectó a la provincia de Chiapas. Remesal considera que éste es un “mal de indio.” con el que regulaban su población. Remesal, 1964, L. 4, cap. III",16.48460858,-92.47022531
1542,Distrito Federal,Mexico,Epidemia,"Peste. Espinosa et al., 1987:79",19.43264649,-99.13325795
1542,Michoacï¿½n de Ocampo,unspecified site,Escasez de alimentos,"“Si saben que si en dicha provincia de Michoacán el año siguiente de 1542 y el de 1543, hubo falta de mantenimientos, sería y fue porque el día de san Francisco del año de 1541 y de 1542, se helaron los maizales de dicha provincia.” 4 de octubre. Hanke, 1976, I:80-81",19.20658922,-101.88139380
1542,Puebla,Cholula,Epidemic,peste,19.06203262,-98.30640045
1542,Yucatï¿½n,Mï¿½rida,Plaga de langosta,"“Haber sobrevenido recién conquistada la tierra tan gran multitud de langosta, que cubría la luz del sol [y] recién poblada la villa de Campeche, vino gran multitud de langosta.” López, 1957:218, 221",20.96571702,-89.62324008
1543,Mï¿½xico,Chalco,Escasez de alimentos,"“Quiso el Señor que hubiera hambre, tuvimos sequía, no se dio nada y no hubo nada de qué alimentarse. Pero para la fiesta de san Juan Bautista, llovi.” Chimalpahin, 1965:260",19.26535425,-98.89781000
1543,Mï¿½xico,unspecified site,Lluvias excesivas,"“Gran hambre, acompañada de tolvanera y tormentas.” Sanders, 1970:36",19.49828005,-99.04413125
1543,Mï¿½xico,unspecified site,Escasez de granos,"Sequía y heladas con escasez y carestía de trigo y maíz, hambre en los meses de noviembre y diciembre. Espinosa et al., 1987:79; Gibson, 1991:464",19.49828005,-99.04413125
1543,Mï¿½xico,unspecified site,Carestí­a,"En la sesión del cabildo de 26 de noviembre de 1543 se dijo que “la república de esta ciudad se queja y hay mucha necesidad de trigo, harina y pan cocido, a causa de la escasez y hay de ello mucha carestía, y que la causa de ello dicen que es que en este presente año ha habido hielos en el trigo y que se saca de esta ciudad para otras partes.” Y a los que contravinieren con esta orden se les multará con 10 pesos de oro, y si es esclavo con 100 azotes. En la sesión del 3 de diciembre el cabildo señaló la necesidad que hay de pan cocido porque “se ha helado la mayor parte de las sementeras de trigo de la comarca de esta ciuda.” AHCM, Actas de cabildo impresas, v. 5, inv. 633a",19.49828005,-99.04413125
1543,Mï¿½xico,unspecified site,Helada,"“Dos meses de sequía, heladas.” Florescano, 1980:81",19.49828005,-99.04413125
1543,Mï¿½xico,unspecified site,Hambre,"“Aquí se levantó el polvo, por eso hubo hambre. - Nican teuhtli moquete yc mayanalloc. Nican teuhtli moquete yc mayanalloc.” Códice Aubin, 1981, f. 47",19.49828005,-99.04413125
1543,Mï¿½xico,unspecified site,Carestí­a de semillas,"“Sequía y heladas con escasez y carestía de trigo y maíz, hambre.” Malvido, 1973:96",19.49828005,-99.04413125
1543,Puebla,Cholula,Drought,"sequia helada carestia maiz trigo, hambre",19.06203262,-98.30640045
1543,Puebla,Quecholac,Helada,"“La helada echó a perder completamente la espiga y el jilote del maíz sembrado, y en el mismo [año] fue a vivir a Calcahualco, López de Cuauhtlichan.” Anales de Quecholac:423",18.95512418,-97.65777740
1544,Distrito Federal,Culhuacï¿½n,Vientos fuertes,"“Aires grandes que quebraban los árboles.” Códice Telleriano Remensis, 1964:IV, lám. XXIV, f. 46",19.33843610,-99.10725302
1544,Distrito Federal,Mexico,Escasez,"En la sesión de cabildo del 21 de junio los señores alcalde ordinario y regidores dijeron que la ciudad padece mucha necesidad y hambre debido a la escasez que hay de trigo y harina, y porque hay algunas personas que tienen trigo, maíz y harina, en mucha más cantidad de la que necesitan “acordaron y mandaron que se investigue qué personas tienen tales bastimentos para proceder a repartirlos a los que no tienen, de tal manera que se distribuyan todos pagándolo a los precios que está estipulado.” En la sesión del 10 de julio los señores justicia y regidores acordaron “que para la mejor distribución y cobro de los bastimentos de maíz y trigo que se están trayendo como consecuencia de los cateos a pueblos y personas, se comisione a los regidores Juan de Sámano y Bernardino de Albornoz para que realicen el control del abastecimient.” y mandaron “que los que amasan y amasaren el dicho pan para venderlo puedan vender y vendan siendo buen pan bien amasado y bien cocido ocho panes por un tomí.” AHCM, Actas de cabildo impresas, v. 5, inv. 633a",19.43264649,-99.13325795
1544,Distrito Federal,Mexico,Epidemia,"“Los franciscanos […] en 1544, en demanda de auxilio para la grave epidemia que diezmaba a México y a sus alrededores, los vemos organizar una peregrinación de niños a la capilla de Nuestra Señora de Guadalupe.” Ricard, 1986:297",19.43264649,-99.13325795
1544,Guerrero,Taxco,Epidemia de cocoliztli,"“Es tierra poblada, aunque de pueblos pequeños. Y según dicen los antiguos naturales, fueron en tiempos pasados de mucha gente, la cual se ha consumido, como en las demás partes de la Nueva España, de las pestilencias generales o cocoliztles (que ansí se llamaban en la lengua mexicana). Que en ella ha habido entre los naturales: la primera, por los años de 1544 y 1545.” “RG Tasco.” 1986, II, 7:115",18.55705455,-99.60366080
