id,add_date,event_duration,event_quote,event_quote_location,event_source_info,event_time_description,firstname,start_day,start_month,start_year,summary,surname
4080,2023-06-13 13:35:17.596215,48,"Ve. m.da a la justt'a de tescuco pase con pers.as intelixentes y reconosca la caja del rio de atlaltongo y p.tes p.r donde resive daño este pue'o con lo de m's q se le prebiene e ynforme con las Dilix.s dentro de 10 dias ---- D'n Ju'o Antt.o Arpo. Virrey Por .to ante mi se pres.to este memorial Ex.mo S'r -- El Gov'or actual comun y natt.s del pue.o y cavesera de s.n Aug.n Acolman juris.on de tescuco como mejor de dro proceda paresemos antte la Gran.za de Ve. y Protxtando Salbos los q nos combenga desimos q el rio q vaja del pue.o de s.ntiago atlaltongo sujeto a la dha cavesera es cresidisimo y cojen sus vertientes en dho theritorio mas de 15 leg.s de latitud y de sircumbala'n mas de 40 y es tan caudadaloso q para evitar anegaciones y Peligros Gravisismos q de el sobre benian se le formo Presa de cal Y canto a costa del R.l herario q se nombra la presa del Rey y con todo no antenido Remedio los perjuicios considerables q acaeiona en sus abenidas en q inunda muchismo mas tierras nras por q les ai ocacionado a los muchos q experim'tan estte daño el q en quatro a'os no hayan cogido cosecha de trigo ni maiz siendo sus tier's Ygualm.te buenas p.ra ambas semillas y estte quebranto amedrenta e intenida para componer mauina tan terrible y caudalosa, por parecerlo la mayor parte de la juris.n por no ser sufiente para ello y los dem.s de ella q estan libres de el estrago de las abenidas no querer concurrir aun manifestandoles los dhos daños y otros q le {139f} so nottorios y pattentes y no paran en ellos sino en ottros mayor's pues en las Abenidas estta expuesta la Yg'a de la cavesera, a total ruina y se arrevata hombres, Animales y Casillas dejando muy lamentos y solo libres a las Gentes q pueden repararse en las copas de los Arboles intorin que pasa su furia todo ocacionado de q por no tener la caja suficiente ha quatro a'os q se desbarata en muchas p'tes con la fuersa y cresido caudal de las Aguas y quedaron en ellas Portillos considerables y Cresidos q ocacionant tan las tiniosas inundaciones q si no se remedian de pres'te y con prompitud Abriendo la caja y serrandolos con el concurso de ttoda la Gente de ttoda la Juris.on y Gov.no de Acolman sin q se septue pueblo alguno ni varrio de los sugettos a el se haran insuperables y dejaran inavitables la mayor p'te de ella y en estta considera'on, se ha de servir ve. justt.a mediante de mandar se libre espa.o para q la del partido vajo la pena q fuera de su sup.or arbitrio compela a ttodos los natt.s de dho Gov.no y de ttodos sus Varrios que por sus Personas no fueren esemptos a la composision de el dho rio sin ahser ni permitir q se ocupen en haser coatequis ni otra faena alg.a en {139v} otro Gov.no de dha ciu'd de tescuco q no el de Acolman en q se an de ocupar cada año presisam.te en dha compos'on pues p.ra las faenas y coattequis q puedan ofreserse en el pue.o de Papalotla y Tescuco ay sufisiente gente en sus natt.s q son en dra mero mu'os mas q los de Alcolman y el Rio de papalotla, no êstan caudaloso como el expresado y asi no hemos de concurrir a componer lo abiando el perjuicio ageno y dejando en pie el proprio daño Por tanto A Ve. suplicamos dettermine como referimos en justt.a q. pedimos Juramos en forma y lo nes.o VE y no firmamos por no saver los mas, firmia por nosottros nro letrado - liz.do Abendano en su Vista Vex'mo - s.pr marq.s de casa fuerte Virrey de este R.no mi antesesor se sirbio con anuencia de las fis'l de m_g.d q entonses era, Se sirbio mandar Ynformase la justt.a del partido sobre su contenido y aviendolo hecho por solo Una zertifica'n que Asento p'r sip're de 734 de la Ruina de alg'as casas en dho Pue.o y las milpas acausa de la Rapides y avenidas del rio q estos Natt.s Refirian por q.nes en instansia de su preten'on p.r oct.e del mismo año presenta'n de otro mem.l reproduciendo el q ba inserto y da {140r} la Vista al S.or fis.l de su mg'd. conformandome con lo q s.re todo a pedido en resp.ta de 16 de enero proximo pasado attento a q aun q dha justt-a certifico como va referido no se extendio a lo demas contenido en el m.l inserto s.re la aplica.on de los natt.s a su travajo y siendo fue siso, para las Providencias q la obra fue de nesesitar en conform.d de mi sup.or decretode 6 del corr'te Por el pres.te m'do a la justt.a del parttido passe con personas intelix.tes y reconosca la caja del rio y partes por donde se resive el daño y el medio mas eficar y prompto q nessita y en q.to al tpo. o q Gente pco mas o me's podra repararse y si de m.s de los Yndios Reseviran otras haz.das o ranchos Beneficio en la compoz.n y q.ts sean con toda claridad expresandome asimismo el num.o q de los mismo Yndios se podra aplicar al travajo repartidos p.or tandas de forma q fue dan aplicarse tambien a sus sementeras y trabajo p.ra su sustento contoda disirecion y su avidad p'ra q en Vistta de todo se pueda resolber p.r mi su percoridad la mas prompta y eficaz providencia antes q entren las aguas p.ra lo q'l ejecute las dilix.s dha justt.a dentro de dies dias remitiendolas con su informe a mi sup.r Gov.no Mex.co 10 de fev.o de 1735 - Ju.o Antt.o Arpô, de Mex'co ' por man.do de su ex'a D'n Ju.o Mrnz de soria.",138v'140r,"""El virrey manda que reconozca la caja del Rio de San Juan,"" Archivo General de la Nación (México), Indios v.54 e.154",Frequent floods for four years that made it impossible to plant maize or wheat.,Brad,0,0,1732,Recurrent flooding in and around Acolman from water of 'caja del Río de San Juan',Skopyk
3358,2023-06-04 06:37:27,,"Provisión que el cabildo toma ante la escasez de maíz. AMMO, Actas de cabildo, 1795-1813, ff. 7-12",tbd,"García Acosta, Virginia, Juan Manuel Pérez Zevallos, América Molina del Villar, and Antonio Escobar Ohmstede. Desastres Agrícolas En México: Catálogo Histórico (México: Fondo de Cultura Económica, 2003), siglo 18 part 3: item# 345",,Bradley,,,1798,Escasez de maíz,Skopyk
4130,2023-06-16 21:55:53.755495,0,"y passando à reconocer el Terreno y capacidad, que hoy ocupa la Laguna que se ha formado con esta presa de acolman], se vio anegada mucha tierra lavoria de los pueblos de Santa catharina y San Nicolas (alias) el Calvario, que caen a la parte del poniente de ella, algunas tierras del Pueblo De Quanala, que caen al Sur, y esta con el agua que trasmina, por el pie, de la cortina de dha presa {183f} e ygualm.e a unos inundados, las tierras del Pueblo de San Matheo y la maior parte de las tierras q.e se siembra de trigo de la haz.da de San Antonio acolman, las que caen a el Oriente de dha Laguna, y por la parte de Norte tambien se hallan anegadas las tierras del Barrio de s.n Pedro, y parte de las de la Haz.da de los Pilares, pertenez.te a el maiorazgo de d.n Fran.co Roldan], con lo que se fenecio esta vista de oxos, que firme con dho maestro y de los concurrentes que supieron escribir. Luis Parrilla. yldephonso de Yniestta Vejarano. bernardino Jph del Pueblo de la Quanalan Jues alcalde Juan esteba Escribano del Pueblo san s.ta M.a ___ tepespa mario mariano",182v-183r,"""Regarding the drainage of the Acolman Lake,"" AGN Temporalidades, v.22, e.16, ff. 163-196v (1757-78)",,Brad,0,0,1770,Flooding of land below Acolman dam,Skopyk
55,2023-06-04 06:37:27,,icuac ticecualoque,tbd,Anales Antiguas de México 18.3: PART 3 771,,Bradley,,,1558,Frost,Skopyk
3739,2023-06-04 06:37:27,,"carestia hambre, heladas",tbd,"Malvido, ""Factores de despoblación..."" Historia Mexicana 89, no. 1 (1973): 96-101",,Bradley,,,1750,Early Frost,Skopyk
2917,2023-06-04 06:37:27,,"Falta de lluvias. Súplica a la Virgen de Guadalupe y beneficencia. Florescano, 1981:155-156",tbd,"García Acosta, Virginia, Juan Manuel Pérez Zevallos, América Molina del Villar, and Antonio Escobar Ohmstede. Desastres Agrícolas En México: Catálogo Histórico (México: Fondo de Cultura Económica, 2003), siglo 18 part 2: item# 373",,Bradley,,,1786,Respuesta religiosa,Skopyk
1387,2023-06-04 06:37:27,,"“Desde el día que salió de su casa [la Reina de los Ángeles] llovió en la ciudad y fue con abundacia, en que se conoció habían cesado las enfermedades por la templanza de los aires.” Veintisiete de junio de 1663. Guijo, 1986, II:200",tbd,"García Acosta, Virginia, Juan Manuel Pérez Zevallos, América Molina del Villar, and Antonio Escobar Ohmstede. Desastres Agrícolas En México: Catálogo Histórico (México: Fondo de Cultura Económica, 2003), siglo 17: item# 474",,Bradley,,,1663,Enfermedad,Skopyk
1078,2023-06-04 06:37:27,,"“Tuvo no obstante el grande dolor al morir [Enrico Martínez] en 1632, de dejar a México inundada cuatro años consecutivos, desde 1628.” Rivera, 1883, I:190",tbd,"García Acosta, Virginia, Juan Manuel Pérez Zevallos, América Molina del Villar, and Antonio Escobar Ohmstede. Desastres Agrícolas En México: Catálogo Histórico (México: Fondo de Cultura Económica, 2003), siglo 17: item# 199",,Bradley,,,1628,Inundación,Skopyk
3812,2023-06-04 06:37:27,,sequia en junio,tbd,"Malvido, ""Factores de despoblación..."" Historia Mexicana 89, no. 1 (1973): 96-101",,Bradley,,,1720,Drought,Skopyk
3336,2023-06-04 06:37:27,,"“El año de 1797, por agosto, comenzó epidemia de viruelas en esta ciudad, y luego que empezó se estableció por inoculación, que produjo buenos efectos, en una casa que se tomó para hacer esta operación. La ciudad se repartió en 181 manzanas o cuarteles que se pusieran a cargo de personas particulares pudientes, para que atendieran al cuidado y asistencia de los enfermos. Según la cuenta que se llevó, enfermaron de viruelas 70 000; por la misma cuenta que se llevó, se halló que murieron 7 068 personas, y sale la mortandad al 10 por ciento.” Sedano, 1880, III:92",tbd,"García Acosta, Virginia, Juan Manuel Pérez Zevallos, América Molina del Villar, and Antonio Escobar Ohmstede. Desastres Agrícolas En México: Catálogo Histórico (México: Fondo de Cultura Económica, 2003), siglo 18 part 3: item# 319",,Bradley,,,1797,Muertes,Skopyk
3676,2023-06-04 06:37:27,,"Epidemia de fiebre. Espinosa et al., 1987:124 1814",tbd,"García Acosta, Virginia, Juan Manuel Pérez Zevallos, América Molina del Villar, and Antonio Escobar Ohmstede. Desastres Agrícolas En México: Catálogo Histórico (México: Fondo de Cultura Económica, 2003), siglo 19: item# 246",,Bradley,,,1814,Epidemia de fiebre,Skopyk
2225,2023-06-04 06:37:27,,"“Hambruna.” huracán, sequía, langosta. Farriss, 1992:108",tbd,"García Acosta, Virginia, Juan Manuel Pérez Zevallos, América Molina del Villar, and Antonio Escobar Ohmstede. Desastres Agrícolas En México: Catálogo Histórico (México: Fondo de Cultura Económica, 2003), siglo 18 part 1: item# 515",,Bradley,,,1766,Hambruna,Skopyk
89,2023-06-04 06:37:27,," huey tlamahuizolli omochiuh ipan ilhuitzin san sebastian yohualtica ipan yey hora hualathui miercoles in otopo popocatzin nochi tlaolli in oquinxique {maize was flattened, was toppled; this is different than C. Townsend anales). maize flattened in jan?",tbd,Anales Antiguas de México 18.3: PART 3 792,,Bradley,20,1,1665,Hunger,Skopyk
836,2023-06-04 06:37:27,,"Se vio un billete del señor virrey sobre el abasto de trigo y maíz. En él se habla del encarecimiento del trigo y del maíz y dice que el corregidor expresará su preocupación al respecto. O’Gorman, 1970:862",tbd,"García Acosta, Virginia, Juan Manuel Pérez Zevallos, América Molina del Villar, and Antonio Escobar Ohmstede. Desastres Agrícolas En México: Catálogo Histórico (México: Fondo de Cultura Económica, 2003), siglo 16: item# 489",,Bradley,,,1597,Carestí­a,Skopyk
2009,2023-06-04 06:37:27,,"Epidemia de fiebre amarilla en Veracruz y Yucatán, lluvias excesivas. Espinosa et al., 1978:111",tbd,"García Acosta, Virginia, Juan Manuel Pérez Zevallos, América Molina del Villar, and Antonio Escobar Ohmstede. Desastres Agrícolas En México: Catálogo Histórico (México: Fondo de Cultura Económica, 2003), siglo 18 part 1: item# 306",,Bradley,,,1744,Epidemia de fiebre amarilla,Skopyk
3822,2023-06-04 06:37:27,,"sequia, heladas",tbd,"Malvido, ""Factores de despoblación..."" Historia Mexicana 89, no. 1 (1973): 96-101",,Bradley,,,1773,Drought,Skopyk
2101,2023-06-04 06:37:27,,"El ayuntamiento de San Cristóbal de las Casas expone a la Real Audiencia de Guatemala la falta de maíz “y no sólo dicha ciudad la padece, sino muchos pueblos de la provinci.” ACEM-UNAM, AGCA, leg. 305",tbd,"García Acosta, Virginia, Juan Manuel Pérez Zevallos, América Molina del Villar, and Antonio Escobar Ohmstede. Desastres Agrícolas En México: Catálogo Histórico (México: Fondo de Cultura Económica, 2003), siglo 18 part 1: item# 404",,Bradley,,,1752,Escasez de maíz,Skopyk
88,2023-06-04 06:37:27,,  tlacecualoc,tbd,Anales Antiguas de México 18.3: PART 3 792,,Bradley,,,1661,Frost,Skopyk
3869,2023-06-04 06:37:27,,MOTLATLALO MIXPANTLI ITECH ILHUICATLI,tbd,"Townsend, Anales de Tlaxcala (unpublished ms): 2",,Bradley,,,1526,Wind,Skopyk
2698,2023-06-04 06:37:27,,"“Instancia de los gobernadores de los pueblos de la jurisdicción de Tacuba sobre relevo de tributos por la escasez de semillas.” Diecinueve de noviembre de 1785. AGNM, Tributos, v. 2, e. 6, ff. 167-182",tbd,"García Acosta, Virginia, Juan Manuel Pérez Zevallos, América Molina del Villar, and Antonio Escobar Ohmstede. Desastres Agrícolas En México: Catálogo Histórico (México: Fondo de Cultura Económica, 2003), siglo 18 part 2: item# 189",,Bradley,,,1785,Escasez de semillas,Skopyk
441,2023-06-04 06:37:27,,"“De 1545 a 1548 se extendió la gran peste de cocoliztli.” Medina Rubio, 1983:175",tbd,"García Acosta, Virginia, Juan Manuel Pérez Zevallos, América Molina del Villar, and Antonio Escobar Ohmstede. Desastres Agrícolas En México: Catálogo Histórico (México: Fondo de Cultura Económica, 2003), siglo 16: item# 130",,Bradley,,,1547,Epidemia de cocoliztli,Skopyk
21,2023-06-04 06:37:27,,4 tecpatl 1547 ypan tecihuitl iztac tepetl,tbd,Anales Antiguas de México 16.1: 717,,Bradley,,,1547,Hail,Skopyk
13,2023-06-04 06:37:27,,1642 axcan a 1 de marzo huel chicahuac cocoliztlimaca yeztli teyacac quizaya,tbd,Anales Antiguas de México 14.1: 676,,Bradley,1,3,1642,Epidemic,Skopyk
3059,2023-06-04 06:37:27,,"Retraso de lluvias. Se realizaron ceremonias religiosas en julio con el fin de invocar la llegada de las lluvias. Serrera, 1991:74",tbd,"García Acosta, Virginia, Juan Manuel Pérez Zevallos, América Molina del Villar, and Antonio Escobar Ohmstede. Desastres Agrícolas En México: Catálogo Histórico (México: Fondo de Cultura Económica, 2003), siglo 18 part 3: item# 068",,Bradley,,,1789,Respuesta religiosa,Skopyk
3374,2023-06-04 06:37:27,,"“El precio del maíz fue de 21 reales la fanega. Variaciones en el precio del maíz de ocho a 48 reales.” Espinosa et al., 1987:120; Gibson, 1991:471",tbd,"García Acosta, Virginia, Juan Manuel Pérez Zevallos, América Molina del Villar, and Antonio Escobar Ohmstede. Desastres Agrícolas En México: Catálogo Histórico (México: Fondo de Cultura Económica, 2003), siglo 18 part 3: item# 357",,Bradley,,,1799,Carestí­a de Maíz,Skopyk
1408,2023-06-04 06:37:27,,"“Peste en las misiones del norte, catarro, dolor de costado, tabardillo. Epidemias, muertes, y enfermedades en León, Celaya. Sequía en mayo y junio.” Espinosa et al., 1987:100",tbd,"García Acosta, Virginia, Juan Manuel Pérez Zevallos, América Molina del Villar, and Antonio Escobar Ohmstede. Desastres Agrícolas En México: Catálogo Histórico (México: Fondo de Cultura Económica, 2003), siglo 17: item# 497",,Bradley,,,1667,Enfermedad,Skopyk
3757,2023-06-04 06:37:27,,epidemia; sequia heladas gran escasez de amiz y ganado,tbd,"Malvido, ""Factores de despoblación..."" Historia Mexicana 89, no. 1 (1973): 96-101",,Bradley,,,1695,Early Frost,Skopyk
1800,2023-06-04 06:37:27,,"“La decadencia de que estoy informado de que ha padecido esta cabecera como los demás de esta jurisdicción, es desde que faltaron los trigos temporales y una gran epidemia que hubo en ella, como en todo el reino, nombrada el Sarampión, cuyos temporales de trigo se deban en esta jurisdicción en abundancia presupuesto de cada carga era de dos pesos 20 reales, con lo que comerciaban y hacían pan, y llevaban a tierra caliente y a otras partes. Con cuya falta y la de los repetidos chagütles [sic], pulgón y hielo granizos en los trigos de riego, cansadas y deslavadas las tierras, por lo que ya no acuden los frutos como antes, pues de una carga acuden a cuatro o cinco cargas. Tienen crecidos costos sus labores, así del trigo como del maíz con otros contratiempos de pestes, como la del matlazahuatl, que consumió multitud de indios y gente de razón, quedando casi sin ella, a comparación de la que había antes.” “RG Malinalco.” 1988, I:162, 168, 172, 176, 180",tbd,"García Acosta, Virginia, Juan Manuel Pérez Zevallos, América Molina del Villar, and Antonio Escobar Ohmstede. Desastres Agrícolas En México: Catálogo Histórico (México: Fondo de Cultura Económica, 2003), siglo 18 part 1: item# 111",,Bradley,,,1729,Epidemia de sarampión,Skopyk
1296,2023-06-04 06:37:27,,"“El peor de los muchos periodos de escasez de alimentos posteriores a 1576-1579 debe haber terminado hacia 1650-1660.” Borah, 1982:71",tbd,"García Acosta, Virginia, Juan Manuel Pérez Zevallos, América Molina del Villar, and Antonio Escobar Ohmstede. Desastres Agrícolas En México: Catálogo Histórico (México: Fondo de Cultura Económica, 2003), siglo 17: item# 379",,Bradley,,,1660,Escasez de alimentos,Skopyk
3514,2023-06-04 06:37:27,,"“Los 35 tributarios y cuatro medios, que hacen 37 enteros, murieron en el pueblo de San José Cocotitlán, sujetos a Temamatlac, de la peste que acaba de retirarse, y constan de la adjunta lista que va certificada y comprobada, es cierta y verdadera.” AGNM, Tributos, v. 18, e. 18, f. 373",tbd,"García Acosta, Virginia, Juan Manuel Pérez Zevallos, América Molina del Villar, and Antonio Escobar Ohmstede. Desastres Agrícolas En México: Catálogo Histórico (México: Fondo de Cultura Económica, 2003), siglo 19: item# 087",,Bradley,,,1806,Epidemia,Skopyk
3783,2023-06-04 06:37:27,,muertes por hambre; escasez de maiz,tbd,"Malvido, ""Factores de despoblación..."" Historia Mexicana 89, no. 1 (1973): 96-101",,Bradley,,,1693,Grain shortages,Skopyk
3041,2023-06-04 06:37:27,,"“Excelentísimo señor: en vista de cuanto vuestra excelencia expresa en carta de 27 de agosto del año próximo pasado, número 58, acerca de las dificultades que representó el justicia del partido de Chautla de la Sal, y sus agregados de Teotlalco y Xolalpa para hacer efectivo el cobro del tercio de tributos de agosto y parte que restaban del de abril de 89, con motivo de la hambre, peste y mortandad que habían tenido los indios y de la espera que con precedente informe de la contaduría del citado ramo, y dictamen del fiscal de la Real Hacienda les concedió vuestra excelencia venido el rey comunicando con el parecer de vuestra excelencia y en consideración a las justas causas en que se funda en perdonarles la cantidad en que se hallan descubiertos a cuenta de los dos citados tercios.” AGNM, Tributos, v. 6, e. 7, ff. 88-88v",tbd,"García Acosta, Virginia, Juan Manuel Pérez Zevallos, América Molina del Villar, and Antonio Escobar Ohmstede. Desastres Agrícolas En México: Catálogo Histórico (México: Fondo de Cultura Económica, 2003), siglo 18 part 3: item# 048",,Bradley,,,1789,Hambre,Skopyk
3795,2023-06-04 06:37:27,,peste; escasez de maiz 40 reale la fanega,tbd,"Malvido, ""Factores de despoblación..."" Historia Mexicana 89, no. 1 (1973): 96-101",,Bradley,,,1696,Epidemic,Skopyk
2987,2023-06-04 06:37:27,,"“La población de la intendencia de Valladolid ha disminuido en los años de hambre de 1786 y 1790; todavía habría padecido mucho más, si el respetable obispo, de quien hemos hablado en el capítulo VI, no hubiese hecho extraordinarios sacrificios para aliviar a los indios: en pocos meses perdió generosamente la suma de 46 000 pesos fuertes, comprando 50 000 fanegas de maíz que vendió a menor precio, para contener la sórdida avaricia de algunos ricos propietarios que en tiempo de calamidades públicas tratan de enriquecerse con la miseria del pueblo.” Humboldt, 1991:167",tbd,"García Acosta, Virginia, Juan Manuel Pérez Zevallos, América Molina del Villar, and Antonio Escobar Ohmstede. Desastres Agrícolas En México: Catálogo Histórico (México: Fondo de Cultura Económica, 2003), siglo 18 part 2: item# 448",,Bradley,,,1789,Calamidad,Skopyk
3202,2023-06-04 06:37:27,,"El colector de diezmos de San Juan del Río, sobre erección de un pósito de providencia en dicho pueblo, a causa de la escasa cosecha de maíces por la falta de agua. Septiembre. AGNM, Tributos, v. 8, e. 11, ff. 251-265",tbd,"García Acosta, Virginia, Juan Manuel Pérez Zevallos, América Molina del Villar, and Antonio Escobar Ohmstede. Desastres Agrícolas En México: Catálogo Histórico (México: Fondo de Cultura Económica, 2003), siglo 18 part 3: item# 204",,Bradley,,,1793,Respuesta autoridades virreinales,Skopyk
3844,2023-06-04 06:37:27,,viruela,tbd,"Malvido, ""Factores de despoblación..."" Historia Mexicana 89, no. 1 (1973): 96-101",,Bradley,,,1798,Epidemic,Skopyk
